,Year,Country,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,Adjusted savings: net national savings (current US$),Adjusted savings: particulate emission damage (current US$),"Air transport, passengers carried",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",Ease of doing business score (0 = lowest performance to 100 = best performance),GNI growth (annual %),"International tourism, receipts (current US$)",Military expenditure (current USD),Population growth (annual %),Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),"International tourism, expenditures (current US$)",Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Net official flows from UN agencies: Total,Intl tourism expenditures recipts and asylum seekers,Intl tourism expenditures receipts and military,net inflows UN and refugee pop,SUM REFUGEE and undernourishment
0,2022,Poland,2083854,0,0,0,0,2083854,2083854,44161680418.75,880671241.2,8094182.25,6.4673343875,928.95620725,10.625,77.213015,4.37274010125,14282000000.0,10715424621.0,-0.013783068000000002,7.0,4.54499989725,10.3536,660.8728894,282.86039295,20.32541493,18.771959244999998,9790500000.0,2.5,12360.0,0.0,0.0,1.4983155473866428e+30,0.0,5209635.0
1,2022,Romania,535461,0,0,0,0,535461,535461,6591601859.5,348032617.025,4662177.75,5.3648216725,614.26760865,13.375,72.9346975,5.052263795,3536500000.0,3809572483.5,-0.56649399725,9.0,4.7325000164999995,35.873,491.9206944,129.21294185,25.143475725000002,19.277893815,5532000000.0,2.5,3885.5,0.0,0.0,7.453016368225035e+28,0.0,1338652.5
3,2022,Hungary,312120,0,0,0,0,312120,312120,15378012967.75,240501663.1,29624119.5,6.661883595,1009.101074175,13.3,72.6801925,4.4202119175,8943000000.0,1648572705.5,-0.18325354975000002,9.0,4.10000002375,24.127299999999998,697.9829315,319.51407755,31.055117510000002,31.8563945,3144000000.0,2.5,5710.5,0.0,0.0,4.635257585742075e+28,0.0,780300.0
4,2022,Slovakia,250036,0,0,0,0,250036,250036,4725065829.75,111340789.22500001,2029542.25,6.886356595,1251.6638795,9.825,75.30321,2.57303854275,3126000000.0,1287654592.5,0.13948438975,7.0,7.522500038,25.8096,984.86626985,259.6883341,26.719788854999997,13.591184004999999,2705000000.0,4.3,951.5,0.0,0.0,1.0888188332899274e+28,0.0,1075154.8
5,2022,Russian Federation,231764,0,0,0,0,231764,231764,222750000000.0,2283782451.75,93754293.25,5.4130748525,576.749084475,13.7,76.8416575,1.5927334615,15932500000.0,65742217173.5,0.05362006275,8.5,5.0299999715000006,20.1593,346.5118,247.82884430000001,21.686630694999998,21.307699185,37187500000.0,2.5,101701.5,0.0,0.0,3.895159598090558e+31,0.0,579410.0
6,2022,Belarus,3765,0,0,0,0,3765,3765,5978325367.0,104770765.4225,2629679.0,5.7646560675,345.642890925,12.675,73.7112625,1.5300925269999999,1163625000.0,675311623.35,-0.10941801075,2.5,5.1025000810000005,14.1293,239.09472485,102.1881271,33.671118105,47.551795005,1126000000.0,2.5,2190.0,3236840.8504999997,0.0,8.848214831734448e+26,7088681462.594999,9412.5
