,Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern
874,2020,Viet Nam,VNM,0,0,0,32890,0
1053,2021,Viet Nam,VNM,0,0,0,30581,0
172,2016,Yemen,YEM,269778,9088,2025060,0,10
346,2017,Yemen,YEM,270913,9763,2014062,0,15
522,2018,Yemen,YEM,264359,8805,2144719,0,10
698,2019,Yemen,YEM,268503,11325,3625716,0,15
875,2020,Yemen,YEM,166906,10693,4002012,0,15
1054,2021,Yemen,YEM,129001,11788,4042836,0,15
173,2016,Zambia,ZMB,29338,3318,0,0,24540
347,2017,Zambia,ZMB,41266,4675,0,0,22394
523,2018,Zambia,ZMB,49877,3300,0,0,22842
699,2019,Zambia,ZMB,57518,5081,0,0,23275
876,2020,Zambia,ZMB,66070,4293,0,0,24203
1055,2021,Zambia,ZMB,70837,4579,0,0,24560
174,2016,Zimbabwe,ZWE,7423,948,0,0,1671
348,2017,Zimbabwe,ZWE,7566,8392,0,0,2859
524,2018,Zimbabwe,ZWE,7795,10207,0,0,853
700,2019,Zimbabwe,ZWE,8956,11532,270000,0,957
877,2020,Zimbabwe,ZWE,9261,11929,0,0,967
1056,2021,Zimbabwe,ZWE,9467,12101,0,0,985
