,GOV,Level of government,TAX,Tax revenue,VAR,Indicator,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
18189,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,FIN,Finland,2020,2020,USD,US Dollar,9,Billions,,,113.419,,
18227,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,FRA,France,2016,2016,USD,US Dollar,9,Billions,,,1121.011,,
18228,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,FRA,France,2017,2017,USD,US Dollar,9,Billions,,,1192.964,,
18229,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,FRA,France,2018,2018,USD,US Dollar,9,Billions,,,1279.601,,
18230,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,FRA,France,2019,2019,USD,US Dollar,9,Billions,,,1224.764,,
18231,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,FRA,France,2020,2020,USD,US Dollar,9,Billions,,,1192.107,,
18269,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DEU,Germany,2016,2016,USD,US Dollar,9,Billions,,,1308.619,,
18270,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DEU,Germany,2017,2017,USD,US Dollar,9,Billions,,,1389.679,,
18271,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DEU,Germany,2018,2018,USD,US Dollar,9,Billions,,,1527.481,,
18272,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DEU,Germany,2019,2019,USD,US Dollar,9,Billions,,,1501.423,,
18273,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DEU,Germany,2020,2020,USD,US Dollar,9,Billions,,,1471.099,,
18311,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GRC,Greece,2016,2016,USD,US Dollar,9,Billions,,,74.973,,
18312,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GRC,Greece,2017,2017,USD,US Dollar,9,Billions,,,78.462,,
18313,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GRC,Greece,2018,2018,USD,US Dollar,9,Billions,,,84.845,,
18314,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GRC,Greece,2019,2019,USD,US Dollar,9,Billions,,,81.065,,
