Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.09999958566985,1.9999991044233,,,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.01939062836405,2.54229793216005,2.47527173582702,2.07789785482258,-2.9391855811122
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.26031420130452,2.64700320195786,1.18922812838034,3.911603419423,-2.35110067344623
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.127594842940539,2.31804152943607,2.95223031342169,3.19033646943127,-0.884980919459011
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.58004964404932,-0.147212941085755,-2.00362972730201,-0.624644317706895,-5.39998738958575
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.31498068405152,3.80222740018748,4.01935968580831,2.11341998165848,-3.95539792669307
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.9526932539653
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.20003366601181,0.929186997414092,2.39775322151057,2.05038751157234,-5.28184428753164
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.98421609131721,2.37355105709227,1.18985564163665,3.41153868634566,-6.13450080253007
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.0259342366392,-9.89526896368687
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.40000000000001
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,3.92156862745099
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.49645920357835,3.14432323970505,6.883640816875,4.86223616575663,-20.1923705722071
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.74164306864724,2.29592694694063,2.87097248021668,2.11314942462376,-0.00383655856659
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.98943716230463,2.25857243250671,2.50159511872086,1.49121084953705,-6.73451407608768
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.09999999999992,0.199999999999804,1.50000000000009,2.4999999999999,-4.29999999999997
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.600020000546493,0.500009998779461,1.60993308234522,1.84247667669987,0.297577119233125
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.26668640902095,1.6195802783878,1.81920366405947,2.14955968072559,-5.65965987018394
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.33967342629693,5.67155546944753,6.69725946087986,6.86568733550151,3.84879240030133
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.95797670754024,6.20348941121868,6.60456906812341,5.68811514943657,1.93032488957256
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.11347821327269,7.28417442269364,7.86375358002958,8.1526841493979,3.5091358821393
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.03982527630795,2.76217095961262,2.68457613091411,4.03759208211947,-4.38714983385256
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.55812811897778,4.29094977756338,2.13670134684136,2.14137678356339,-5.08518021318916
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0911469243731915,1.62501197597548,2.76704081044245,0.702459096698348,-14.5144814032903
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.14980691561182,3.17143487487128,3.74007109201324,2.83100260259697,-3.19695013403583
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.52644643552364,2.53218350023035,3.14919759374963,1.40000000000001,-0.900000000246891
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.0332336324360227,1.81368203309692,2.90606973116134,1.76279791284728,-14.0105321507761
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.657206304259205,3.61141983706115,-0.432801300339307,0.45988994302148,-6.34408024589787
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.26392083751466,4.1952063010676,4.22362351118875,2.21670577750376,-8.82949361965127
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.2759169063211,1.32286905390815,1.78366676137003,1.41115298506995,-4.05904827267271
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.47869868319133,0.475110679192298,-0.580333154218167,-0.0961355529131964,-18.9795097037672
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.47791771833224,1.32860255161715,0.0522377907767719,3.86910986506845,1.13357335070793
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.1270335383894,4.65183467529606,3.05512983672538,5.75516999517272,-10.0763411241337
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.03689695063241,4.003449739749,3.98039539042554,2.99273763533627,-8.49289351078259
